10376.png,0
10505.png,1
10635.png,1
11167.png,0
1150.png,0
11708.png,0
11907.png,1
11930.png,0
12359.png,1
12971.png,0
13137.png,0
13698.png,0
14169.png,0
14328.png,0
14541.png,0
14574.png,0
14680.png,0
14683.png,0
14723.png,0
14786.png,0
15030.png,0
15055.png,0
15066.png,0
15151.png,0
15241.png,0
15666.png,0
15889.png,0
16177.png,0
16842.png,0
17002.png,0
17100.png,0
1737.png,0
17997.png,0
18455.png,0
18658.png,0
18708.png,0
19234.png,0
19303.png,0
19345.png,0
19572.png,0
19782.png,1
19983.png,0
2045.png,0
21352.png,0
21414.png,0
21942.png,0
22276.png,0
22957.png,0
23016.png,0
23224.png,0
24674.png,0
24679.png,0
24695.png,0
24866.png,0
2620.png,0
27080.png,0
27239.png,0
27330.png,0
27379.png,0
27634.png,0
27824.png,0
28026.png,0
2811.png,0
2816.png,0
28167.png,0
28784.png,0
29315.png,1
29484.png,0
29537.png,1
29898.png,0
30038.png,0
30351.png,0
30370.png,0
30552.png,0
31044.png,0
31102.png,1
31131.png,0
31786.png,0
32121.png,0
32436.png,1
3684.png,0
3733.png,0
3759.png,0
4698.png,0
4762.png,0
48.png,0
4862.png,1
4929.png,0
5873.png,0
6286.png,0
6835.png,0
7434.png,0
7836.png,1
7949.png,0
7966.png,0
8245.png,0
8382.png,1
9703.png,0
9752.png,1
990.png,0
